"name","address","longitude","latitude","bike_stands","available_bike_stands","available_bikes"
"11029 - MENILMONTANT OBERKAMPF","137 BOULEVARD MENILMONTANT - 75011 PARIS",2.38301344042,48.8666176587,40,24,15
"07012 - CITE VANEAU","7 CITE VANEAU - 75007 PARIS",2.31945401006,48.8542683341,36,26,9
"19019 - PETIT HONNEGER","124 RUE PETIT - 75019 PARIS",2.39363751443,48.8863896349,22,5,16
"06006 - NOTRE DAME DES CHAMPS","41 RUE NOTRE DAME DES CHAMPS - 75006 PARIS",2.32933775589,48.8447992886,19,1,18
"09007 - CONDORCET","34 RUE CONDORCET - 75009 PARIS",2.34539633899,48.8798312251,20,10,10
"14013 - LIART AMIRAL MOUCHEZ","1 RUE LIARD - 75014 PARIS",2.34210421456,48.8212276633,14,1,12
"11038 - TEMPLE REPUBLIQUE","44 BD DU TEMPLE - 75011 PARIS",2.36531295078,48.8657450771,45,1,44
"13021 - BOUSSINGAULT - TOLBIAC","55 RUE BOUSSINGAULT - 75013 PARIS",2.342176808,48.8260351661,47,5,40
"34002 - PERI (SAINT OUEN)","128 AVENUE GABRIEL PERI / AVENUE DU CAPITAINE GLAMER - 93400 SAINT OUEN",2.33051356484,48.9025922416,26,26,0
"02005 - MONTORGUEIL RUE MONTMARTRE VERSION 2","46 RUE DE MONTMARTRE - 75002 PARIS",2.34506844014,48.8650219458,15,1,14
"31008 - VINCENNES (MONTREUIL)","7 BIS RUE DE VINCENNES - 93100 MONTREUIL",2.43736866129,48.857702134,56,50,6
"15062 - BOUCICAUT","87 RUE DE LA CONVENTION - 75015 PARIS",2.28586265594,48.8421443316,36,4,31
"04012 - ECOUFFES RIVOLI","2 RUE TIRON - 75004 PARIS",2.35790788214,48.8557966374,28,0,28
"03011 - TURBIGO","55 RUE TURBIGO - 75003 PARIS",2.35627844763,48.8655841911,31,1,24
"10008 - CITE RIVERIN","12 RUE CITE RIVERIN / ANGLE RUE DU CHATEAU D'EAU - 75010 PARIS",2.35872446227,48.8707649819,18,5,12
"42504 - MALON (GENTILLY)","FACE 59 RUE BENOIT MALON - 94250 GENTILLY",2.34107065417,48.8144401796,30,25,5
"10015 - RECOLLETS","46 RUE LUCIE SAMPAIX - 75010 PARIS",2.3624985287,48.8741129165,46,0,43
"19012 - LALLY TOLLENDAL","5 RUE LALLY TOLLENDAL - 75019 PARIS",2.37469338894,48.8827006442,60,37,23
"42006 - BROSSOLETTE (IVRY)","23 RUE PIERRE BROSSOLETTE - 94200 IVRY",2.38146031918,48.8169297206,20,2,18
"06020 - SAINT MICHEL DANTON","2 RUE DANTON - 75006 PARIS",2.34265739289,48.8529304106,35,4,28
"13047 - BOUTROUX VITRY","1 AVENUE BOUTROUX - 75013 PARIS",2.37773843366,48.8226328422,49,16,31
"11001 - BASTILLE RICHARD LENOIR","2 BOULEVARD RICHARD LENOIR - 75011 PARIS",2.36970148822,48.8538482262,40,0,40
"15115 - VAUGIRARD","25-31 BOULEVARD DE VAUGIRARD - 75015 PARIS",2.31829155159,48.8413252598,48,43,5
"17050 - BATIGNOLLES","1 RUE DES BATIGNOLLES - 75017 PARIS",2.32383474909,48.8831039046,17,14,3
"20110 - PORTE DES LILAS","FACE 241 AVENUE GAMBETTA - 75020 PARIS",2.40596033115,48.8754124219,20,20,0
"04103 - HOTEL DE VILLE","1 RUE DES ARCHIVES - 75004 PARIS",2.35397627362,48.8572037877,25,15,10
"35001 - JAURES 1 (PANTIN)","168 AVENUE JEAN JAURES - 93500 PANTIN",2.39932563331,48.9101370951,26,3,19
"02101 - BACHAUMONT","14 RUE BACHAUMONT - 75002 PARIS",2.3454636527,48.8660671501,22,0,22
"32008 - EMGP NORD (SAINT DENIS)","EMGP PARKING ENTREE NORD - 93200 SAINT DENIS",2.36499787716,48.9057454677,35,34,1
"01015 - PLACE ANDRE MALRAUX","2 PLACE ANDRE MALRAUX - 75001 PARIS",2.33559960389,48.8639796552,20,10,9
"15069 - BOUCICAUT FAURE","41 AVENUE FELIX FAURE - 75015 PARIS",2.28838660085,48.841249336,46,6,39
"10032 - DODU","N° 12-14 RUE CLAUDE VELLEFAUX- 75010 PARIS",2.37007170699,48.872859139,32,28,3
"15030 - LINOIS","66 RUE EMERIAU - 75015 PARIS",2.2843806337,48.8480457863,33,15,18
"11020 - CHARONNE","1 RUE DE BELFORT - 75011 PARIS",2.38307245237,48.856317178,36,22,14
"08013 - MARIGNAN","24 RUE DE MARIGNAN - 75008 PARIS",2.3066208349,48.8696161949,33,29,2
"14125 - DAREAU","34 RUE DAREAU - 75014 PARIS",2.3361465572,48.8307232146,24,22,2
"17004 - LEGENDRE AVENUE DE CLICHY","130 RUE LEGENDRE - 75017 PARIS",2.32252897509,48.8889616186,22,19,3
"9104 - CAUMARTIN PROVENCE","115 rue de provence - 75009 PARIS",2.32777869012,48.874179024,30,11,19
"08008 - ROME SAINT LAZARE","1 RUE JOSEPH SANSBOEUF - 75008 PARIS",2.32288436575,48.8753531745,18,0,18
"13023 - BOBILLOT VERLAINE","30 RUE BOBILLOT - 75013 PARIS",2.35303458295,48.8286028908,26,10,16
"20016 - PYRENEES VITRUVE","114 BIS RUE DES PYRENEES - 75020 PARIS",2.40442562518,48.8571294004,19,11,7
"11042 - OBERKAMPF","1 RUE DU GRAND PRIEURE - 75011 PARIS",2.36926143826,48.8646494199,47,18,25
"21707 - PASTEUR (VANVES)","9 AVENUE PASTEUR ANGLE CARREFOUR ALBERT LEGRIS - 92170 Vanves",2.29250033146,48.8250993292,24,15,9
"15047 - DANTZIG","FACE AU 37 RUE MORILLONS - 75015 PARIS",2.2992826416,48.8331797706,52,51,1
"15039 - CHARLES VALLIN","133 RUE DE L'ABBE GROULT - 75015 PARIS",2.30186596838,48.8360583939,12,12,0
"10009 - HITTORFF","FACE 14 RUE HITTORFF - 75010 PARIS",2.35766368562,48.8720836089,17,0,15
"17005 - BROCHANT","43 RUE BROCHANT - 75017 PARIS",2.31973055993,48.8903299891,35,1,34
"35008 - LOLIVE 2 (PANTIN)","132 RUE JEAN LOLIVE - 93500 PANTIN",2.41252957147,48.8927196663,30,25,5
"19006 - MATHIS","6 RUE MATHIS - 75019 PARIS",2.37614246886,48.8906781294,55,45,9
"17009 - BODIN AVENUE DE CLICHY","2 RUE PAUL BODIN - 75017 PARIS",2.31731325811,48.8926339214,33,8,25
"42703 - FONTAINEBLEAU (KREMLIN BICETRE)","93 AVENUE DE FONTAINEBLEAU - 94270 LE KREMLIN BICETRE",2.3626835099,48.809582338,45,43,2
"10006 - PETITES ECURIES","5 RUE DES PETITES ECURIES - 75010 PARIS",2.35403448428,48.8729397678,28,0,27
"18026 - RUISSEAU ORDENER","37 RUE DU RUISSEAU - 75018 PARIS",2.34011963244,48.892895284,33,33,0
"12107 - DIDEROT BOURDAN","146 BOULEVARD DIDEROT - 75012 PARIS",2.39023863314,48.847653881,21,11,10
"03004 - REPUBLIQUE 23","19 PLACE DE LA REPUBLIQUE - 75003 PARIS",2.36351,48.86707,18,0,15
"13010 - PLACE D ITALIE AURIOL","FACE 11 PLACE D'ITALIE - 75013 PARIS",2.35670842076,48.8315826438,40,33,6
"13101 - CROULEBARBE RECULETTES","67-69 RUE DE CROULEBARBE - 75013 PARIS",2.34810865478,48.8311217751,34,5,29
"13151 - GARE D'AUSTERLITZ","GARE D'AUSTERLITZ - 75013 PARIS",2.36612446186,48.8405773029,55,3,52
"01012 - BOURSE DU COMMERCE","FACE 29 RUE JEAN JACQUES ROUSSEAU - 75001 PARIS",2.34155507783,48.8629981668,22,1,20
"34001 - FRUCTIDOR (SAINT OUEN)","FACE 10 RUE FRUCTIDOR / FACE BAT 2 LE COLYSEE - 93400 SAINT OUEN",2.3248198078,48.9008896269,24,7,17
"13031 - ITALIE MAISON BLANCHE","121 AVENUE D'ITALIE - 75013 PARIS",2.35870121788,48.8211593208,31,9,22
"05026 - MOUFFETARD SAINT MEDARD","3 RUE PASCAL - 75005 PARIS",2.34993205296,48.8389938245,49,20,29
"11045 - SAINT SEBASTIEN FROISSARD","12 BD DES FILLES DU CALVAIRE - 75011 PARIS",2.3673523288,48.8612050519,42,6,35
"18046 - FOURCHE","12 RUE ETIENNE JOGELLE - 75018 PARIS",2.32612442031,48.8879401639,33,31,2
"17030 - RENNEQUIN PEREIRE","143 BOULEVARD DE PEREIRE - 75017 PARIS",2.29515206745,48.8836391539,23,5,18
"11035 - GONCOURT","140 AVENUE PARMENTIER - 75011 PARIS",2.37153681066,48.8694696053,53,45,8
"14035 - MAINE GAITE","90 AVENUE DU MAINE - 75014 PARIS",2.32255164002,48.8378836278,48,45,1
"21009 - LECORBUSIER (BOULOGNE-BILLANCOURT)","FACE AU 1 RUE LECORBUSIER - 92100 BOULOGNE-BILLANCOURT",2.24084666482,48.8379982953,46,8,38
"20039 - COURONNES","44 BOULEVARD DE BELLEVILLE - 75020 PARIS",2.3812826011,48.8689406429,48,45,3
"17026 - WAGRAM COURCELLES","105 RUE JOUFFROY D'ABBANS - 75017 PARIS",2.30113837818,48.8818571507,41,15,26
"10152 - GARE DU NORD 2","3 BOULEVARD DE DENAIN - 75010 PARIS",2.35415909596,48.8790493108,25,13,12
"11010 - ST ANTOINE GONNET","1 RUE DES BOULETS - 75011 PARIS",2.39175461419,48.8492592621,41,33,8
"08004 - MALESHERBES PASQUIER","FACE 4 BD MALESHERBES - 75008 PARIS",2.32328899479,48.8704218834,64,25,34
"02003 - ALLEE PIERRE LAZAEFF","189 RUE SAINT DENIS - 75002 PARIS",2.35084459529,48.8661457465,31,0,31
"01026 - COLONEL DRIANT","PLACE DU LIEUTENANT HENRI KARCHER - 75001 PARIS",2.34016976702,48.8634305019,31,14,17
"10114 - HOPITAL SAINT LOUIS","12 BIS RUE DE LA GRANGE AUX BELLES - 75010 PARIS",2.36666943698,48.8747949948,59,18,41
"08030 - MONTAIGNE","25 RUE BAYARD - 75008 PARIS",2.30769160565,48.8672932362,35,9,25
"09030 - VICTOIR CHAUSSEE D ANTIN","79 RUE DE LA VICTOIRE - 75009 PARIS",2.33203631337,48.8751858642,44,9,35
"07018 - SEGUR ESTREES","23 AVENUE DE SEGUR - 75007 PARIS",2.3097476156,48.8512943346,18,10,8
"17013 - LEGENDRE","62 RUE LEGENDRE - 75017 PARIS",2.31647383591,48.8854377309,22,16,6
"18034 - LEIBNITZ","50 RUE LEIBNITZ - 75018 PARIS",2.33339042383,48.8963283485,41,37,3
"05010 - SAINT MICHEL HENRI BARBUSSE","1 RUE HENRI BARBUSSE - 75005 PARIS",2.33930672198,48.8437569813,15,13,2
"09022 - LAFITTE ROSSINI","19 RUE ROSSINI - 75009 PARIS",2.3379808677,48.8733462751,33,25,8
"18044 - CLICHY","132 BOULEVARD DE CLICHY - 75018 PARIS",2.32880709819,48.884127108,32,28,3
"14031 - DIDOT CHATEAU","13 RUE DIDOT - 75014 PARIS",2.3215,48.8337,22,19,3
"19116 - JAURES VILLETTE","180 BOULEVARD DE LA VILLETTE - 75019 PARIS",2.37026248226,48.8814724985,30,26,3
"34010 - DIDEROT 2 (SAINT OUEN)","FACE 61-63 RUE DIDEROT- 93400 SAINT OUEN",2.33391012713,48.9115704593,50,16,33
"22006 - PIERRET (NEUILLY)","33 RUE PIERRET - 92200 NEUILLY SUR SEINE",2.26009698393,48.8830266592,25,21,4
"15038 - PLACE ADOLPHE CHERIOUX","18 PLACE ADOLPHE CHERIOUX - 75015 PARIS",2.30065445929,48.8396350806,66,49,17
"02016 - ABOUKIR","108 RUE D'ABOUKIR - 75002 PARIS",2.35018588824,48.8686604815,21,11,10
"04015 - MAIRIE DU 4 EME","25 RUE DU PONT LOUIS PHILIPPE - 75004 PARIS",2.35638115487,48.8559658562,16,0,16
"10004 - METZ","7 RUE DE METZ - 75010 PARIS",2.35352156501,48.870893426,63,0,61
"13053 - CHEVALERET TOLBIAC","56 RUE CHEVALERET - 75013 PARIS",2.37593455801,48.8294101346,21,4,17
